[PROBE]
"Digital High Pressure Dilatometer"

[PROJECT DETAILS]
"Contract name",Borehole,Easting,Northing,Elevation
,BH5,,,

[TEST DETAILS]
"Test name","Test date","Depth (M)","Heading (deg)","Data Rate (secs)","Start Line","Stop Line",Material:
B0001T00,04/11/22,"  0.00",n/a,10,1,73,Alu

[COMMENTS]
""

[CALIBRATION FACTORS]
Sensor,"Zero (mV)",Slope,Units,"Zero (kPa)","Slope (kPa/mm)","Compliance (mm/GPa)"
"Arm 1"," -2249.9","   125.1",mV/mm," 0.0"," 0.0","     0.0"
"Arm 2"," -2224.8","   129.1",mV/mm," 0.0"," 0.0","     0.0"
"Arm 3"," -2500.3","   131.4",mV/mm," 0.0"," 0.0","     0.0"
"Arm 4"," -1991.0","   122.3",mV/mm," 0.0"," 0.0","     0.0"
"Arm 5"," -2693.2","   131.3",mV/mm," 0.0"," 0.0","     0.0"
"Arm 6","  -974.5","   131.7",mV/mm," 0.0"," 0.0","     0.0"
"TPC A","  1666.0","    69.9",mV/MPa
"TPC B","   234.8","    67.2",mV/MPa

[PROBE DIMENSIONS]
"Diameter over  probe","Diameter under membrane","CHL strip thickness"
" 95.00"," 84.00",1.0000

[COMPASS FACTORS (units in millivolts)]
Sensor,Minimum,Maximum
Sine,-2.5148,0.0378
Cosine,-0.8165,1.6079

[DATA IN ENGINEERING UNITS]
"Line No.","Arm 1","TPC 1","Arm 2","TPC 2","Arm 3","TPC 3","Arm 4","TPC 4","Arm 5","TPC 5","Arm 6","TPC 6",Sin,Cosine,"Arm Average","TPC Average"
,(mm),(kPa),(mm),(kPa),(mm),(kPa),(mm),(kPa),(mm),(kPa),(mm),(kPa),(V),(V),(mm),(kPa)
1,-0.0008,1.4,0.0000,1.4,0.0000,1.4,0.0000,1.4,-0.0015,1.4,-0.0008,1.4,-0.2770,1.7810,-0.0005,1.4
2,0.0000,0.0,0.0000,0.0,0.0000,0.0,0.0000,0.0,0.0000,0.0,0.0000,0.0,-0.2756,1.7859,0.0000,0.0
3,0.0014,-1.4,0.0007,-1.4,0.0007,-1.4,0.0007,-1.4,0.0000,-1.4,0.0000,-1.4,-0.2779,1.7857,0.0006,-1.4
4,0.0022,-1.4,0.0014,-1.4,0.0014,-1.4,0.0015,-1.4,0.0007,-1.4,0.0000,-1.4,-0.2793,1.7859,0.0012,-1.4
5,0.0036,-1.4,0.0014,-1.4,0.0021,-1.4,0.0015,-1.4,0.0014,-1.4,0.0007,-1.4,-0.2877,1.7735,0.0018,-1.4
6,0.0043,-2.9,0.0021,-2.9,0.0034,-2.9,0.0030,-2.9,0.0021,-2.9,0.0007,-2.9,-0.2812,1.7798,0.0026,-2.9
7,0.0051,1.4,0.0028,1.4,0.0034,1.4,0.0030,1.4,0.0034,1.4,-0.0021,1.4,-0.2824,1.7768,0.0026,1.4
8,0.0065,24.3,0.0042,24.3,0.0048,24.3,0.0059,24.3,0.0062,24.3,-0.0007,24.3,-0.2842,1.7937,0.0045,24.3
9,0.1568,61.5,0.7286,61.5,0.8768,61.5,0.7843,61.5,0.1866,61.5,0.1147,61.5,-0.2846,1.7938,0.4746,61.5
10,0.4877,94.4,2.2309,94.4,3.2551,94.4,2.7864,94.4,0.9970,94.4,0.1164,94.4,-0.2828,1.7846,1.6456,94.4
11,0.7966,123.0,3.7980,123.0,6.0366,123.0,5.1721,123.0,2.0775,123.0,0.1423,123.0,-0.2810,1.7718,3.0038,123.0
12,2.2776,144.5,5.4549,144.5,7.3784,144.5,6.5366,144.5,3.9243,144.5,2.3878,144.5,-0.2826,1.7736,4.6599,144.5
