[PROBE]
"Digital High Pressure Dilatometer"

[PROJECT DETAILS]
"Contract name",Borehole,Easting,Northing,Elevation
,,,,

[TEST DETAILS]
"Test name","Test date","Depth (M)","Heading (deg)","Data Rate (secs)","Start Line","Stop Line",Material:
B0001T01,24/11/21," 36.70",290,10,1,254,Fels

[COMMENTS]
""

[CALIBRATION FACTORS]
Sensor,"Zero (mV)",Slope,Units,"Zero (kPa)","Slope (kPa/mm)","Compliance (mm/GPa)"
"Arm 1"," -2209.5","   126.1",mV/mm,361.0,11.2,"     1.0"
"Arm 2"," -2176.6","   129.1",mV/mm,361.0,11.2,"     1.0"
"Arm 3"," -2556.4","   131.8",mV/mm,361.0,11.2,"     1.0"
"Arm 4"," -1267.3","   126.7",mV/mm,361.0,11.2,"     1.0"
"Arm 5"," -2673.1","   131.0",mV/mm,361.0,11.2,"     1.0"
"Arm 6","  -838.9","   131.3",mV/mm,361.0,11.2,"     1.0"
"TPC A","   786.1","    69.9",mV/MPa
"TPC B"," -1422.7","    67.2",mV/MPa

[PROBE DIMENSIONS]
"Diameter over  probe","Diameter under membrane","CHL strip thickness"
" 95.00"," 82.00",1.0000

[COMPASS FACTORS (units in millivolts)]
Sensor,Minimum,Maximum
Sine,-2.5148,0.0378
Cosine,-0.8165,1.6079

[DATA IN ENGINEERING UNITS]
"Line No.","Arm 1","TPC 1","Arm 2","TPC 2","Arm 3","TPC 3","Arm 4","TPC 4","Arm 5","TPC 5","Arm 6","TPC 6",Sin,Cosine,"Arm Average","TPC Average"
,(mm),(kPa),(mm),(kPa),(mm),(kPa),(mm),(kPa),(mm),(kPa),(mm),(kPa),(V),(V),(mm),(kPa)
1,-0.1710,40.8,-0.2390,40.8,-0.0907,40.8,-0.3445,40.8,-0.0256,40.8,-0.5760,40.8,-1.8163,0.5980,-0.2411,40.8
2,-0.1717,42.3,-0.2382,42.3,-0.0907,42.3,-0.3445,42.3,-0.0256,42.3,-0.5760,42.3,-1.8165,0.5981,-0.2411,42.3
3,-0.1702,42.3,-0.2382,42.3,-0.0900,42.3,-0.3445,42.3,-0.0256,42.3,-0.5760,42.3,-1.8161,0.5979,-0.2407,42.3
4,-0.1702,42.3,-0.2382,42.3,-0.0900,42.3,-0.3437,42.3,-0.0256,42.3,-0.5760,42.3,-1.8160,0.5977,-0.2406,42.3
5,-0.1694,42.3,-0.2382,42.3,-0.0900,42.3,-0.3437,42.3,-0.0248,42.3,-0.5760,42.3,-1.8163,0.5974,-0.2404,42.3
6,-0.1694,40.8,-0.2382,40.8,-0.0900,40.8,-0.3437,40.8,-0.0248,40.8,-0.5760,40.8,-1.8159,0.5976,-0.2404,40.8
7,-0.1694,46.6,-0.2382,46.6,-0.0892,46.6,-0.3437,46.6,-0.0248,46.6,-0.5761,46.6,-1.8158,0.5972,-0.2402,46.6
8,-0.1686,50.8,-0.2382,50.8,-0.0900,50.8,-0.3437,50.8,-0.0248,50.8,-0.5761,50.8,-1.8160,0.6009,-0.2402,50.8
9,-0.1686,53.7,-0.2375,53.7,-0.0892,53.7,-0.3437,53.7,-0.0248,53.7,-0.5753,53.7,-1.8161,0.6019,-0.2399,53.7
